time [ps]	intensity [W]	phase [rad]
-1.7467464	0.19664576	-35.600687
-1.7307212	0.1086008	-35.956695
-1.714696	0.083031573	-36.245336
-1.6986708	0.037397052	-36.302498
-1.6826456	0.0013326869	-33.295476
-1.6666204	0.17773229	-32.99507
-1.6505952	0.90425852	-32.802172
-1.63457	2.530184	-32.587434
-1.6185448	5.2641709	-32.354872
-1.6025196	9.0428676	-32.109
-1.5864944	13.451521	-31.85316
-1.5704692	17.735037	-31.589191
-1.554444	20.950339	-31.317218
-1.5384188	22.264457	-31.035648
-1.5223936	21.287476	-30.74144
-1.5063684	18.245745	-30.430489
-1.4903432	13.872076	-30.097593
-1.474318	9.1004072	-29.733897
-1.4582928	4.8091416	-29.31331
-1.4422676	1.7726386	-28.720803
-1.4262424	0.70803646	-27.474743
-1.4102172	2.1414287	-26.31449
-1.394192	6.0013277	-25.807632
-1.3781668	11.249967	-25.490744
-1.3621417	16.0501	-25.257459
-1.3461165	18.635806	-25.086198
-1.3300913	18.421462	-24.981439
-1.3140661	16.534637	-24.961074
-1.2980409	15.291975	-25.033103
-1.2820157	16.913299	-25.143957
-1.2659905	22.306397	-25.194483
-1.2499653	30.597217	-25.143835
-1.2339401	39.453289	-25.010522
-1.2179149	45.805957	-24.822498
-1.2018897	46.693059	-24.599619
-1.1858645	40.309766	-24.351717
-1.1698393	27.339669	-24.075052
-1.1538141	12.041855	-23.725617
-1.1377889	1.9642165	-22.896448
-1.1217637	5.3920198	-20.949503
-1.1057385	26.978528	-20.435245
-1.0897133	63.678163	-20.129742
-1.0736881	103.80591	-19.866518
-1.0576629	130.92638	-19.612985
-1.0416377	131.65567	-19.35242
-1.0256125	103.76181	-19.063174
-1.0095873	59.896248	-18.691461
-0.99356215	23.868875	-18.038414
-0.97753695	20.136062	-16.797019
-0.96151175	61.221788	-15.989169
-0.94548656	139.69805	-15.571964
-0.92946136	229.58481	-15.265164
-0.91343617	297.18428	-14.995224
-0.89741097	316.13685	-14.737114
