wavelength [nm]	Intensity [pJ/nm]	Phase [rad]
1450.3345	1.4546733E-30	5.3619692
1451.1901	7.4884645E-31	7.3147293
1452.0468	4.7215682E-31	8.2152619
1452.9044	8.6867827E-31	8.1174624
1453.7631	8.6765237E-31	4.9758698
1454.6228	1.9199073E-30	2.6360254
1455.4836	8.3710949E-31	4.8451981
1456.3453	3.5342871E-32	4.6571083
1457.2081	1.5980433E-30	5.2476583
1458.0719	2.6554941E-30	6.7577338
1458.9367	1.3869584E-30	4.9885633
1459.8025	1.4334672E-30	3.368758
1460.6694	2.3337144E-31	3.1138716
1461.5373	3.5533844E-30	4.8186367
1462.4062	1.5792924E-30	5.9926754
1463.2762	1.4309988E-31	3.2362126
1464.1472	5.1623781E-31	0.64483691
1465.0192	7.6271149E-31	-2.2813007
1465.8923	9.0009286E-32	-4.3774279
1466.7664	9.6240559E-31	-2.509986
1467.6415	1.245941E-31	-2.0524492
1468.5177	2.7789253E-31	-2.9000146
1469.395	3.4306219E-31	0.20526363
1470.2733	6.4893428E-31	-1.7644975
1471.1526	3.493281E-31	0.20421957
1472.0331	8.0971961E-32	2.9846296
1472.9145	2.129144E-30	0.27874872
1473.797	3.2713823E-32	-1.741879
1474.6806	3.2489808E-31	-4.3716111
1475.5652	3.4710387E-31	-1.3054383
1476.4509	5.3310515E-31	-0.59256236
1477.3377	2.6695883E-30	-2.6396593
1478.2255	2.132881E-30	-5.4977871
1479.1144	2.3707964E-30	-3.5378865
1480.0044	4.7557237E-31	-5.7382988
1480.8954	4.4293478E-31	-2.7715302
1481.7875	6.2923512E-31	-3.4584005
1482.6807	6.9257793E-31	-2.8806201
1483.5749	2.8094875E-31	-1.5050687
1484.4703	4.0696311E-31	-2.4816321
1485.3667	1.4472924E-30	-3.3569504
1486.2642	1.5554929E-30	-3.4846166
1487.1628	7.4692969E-31	-6.0382066
1488.0625	4.7745714E-31	-6.0382066
1488.9632	2.2020618E-30	-4.4263375
1489.8651	8.1952043E-31	-6.8711879
1490.768	3.3930433E-30	-5.5942609
1491.6721	1.5442349E-30	-7.5109577
1492.5772	5.8100308E-31	-4.5472403
1493.4834	1.2721252E-31	-3.5003633
1494.3908	4.6820034E-31	-4.0566934
1495.2992	1.5471827E-31	-2.5829933
1496.2088	1.1116626E-30	-2.6248975
1497.1194	2.7196324E-30	-3.5713549
1498.0312	5.0230105E-32	-1.9513027
1498.9441	7.3562374E-30	-0.19288431
1499.8581	4.2297908E-30	-0.24497866
1500.7732	0.0080943257	-0.49582107
1501.6894	0.034645969	-0.685257
1502.6067	0.0034281124	-0.77129437
1503.5252	0.046258484	-0.69261866
1504.4448	0.034565931	-0.43710712
1505.3655	0.030584886	-0.7185993
1506.2873	0.02611316	-0.37999237
1507.2103	0.099566534	-0.23292615
1508.1344	0.031171497	-0.48710634
1509.0597	0.0010612412	-0.4242711
1509.986	0.041552763	-0.71658139
1510.9135	0.0015224599	-0.52431645
1511.8422	0.064581742	-0.90498016
1512.772	0.1205545	-1.1127509
1513.7029	0.05616781	-0.76927122
1514.635	0.052309885	-1.0373922
1515.5682	0.010582328	-1.2016938
1516.5026	0.087282186	-1.323667
1517.4381	0.12466865	-1.0809166
1518.3748	0.11388924	-1.138283
1519.3127	0.24961	-0.64864285
1520.2517	0.26588371	-0.21764873
1521.1919	0.38972538	0.062346159
1522.1332	0.33641871	0.42650464
1523.0757	0.45885775	0.40632787
1524.0193	0.71387707	-0.11184831
1524.9642	0.75269206	-0.43277009
1525.9102	0.9765939	-0.65660396
1526.8574	1.4964382	-0.6532077
1527.8057	1.621789	-0.46827683
1528.7553	2.5399203	0.035037358
1529.706	3.1070891	0.66359163
1530.6579	4.942236	0.70960475
1531.611	6.5409305	0.46344849
1532.5653	13.448764	-0.0071016562
1533.5207	27.713545	-0.41798496
1534.4774	63.587428	-0.60154144
1535.4352	125.13504	-0.66260681
1536.3943	158.78959	-0.68937528
1537.3545	152.68928	-0.64856727
1538.316	128.05922	-0.52258096
1539.2786	117.46367	-0.29845036
1540.2425	161.65264	-0.11146124
1541.2075	271.3767	-0.017376055
1542.1738	422.78987	0.013665915
1543.1413	564.28206	0.012950885
1544.11	603.67764	0.0071175743
